Name,Links,Notes
Stanford,"https://cs.stanford.edu/admissionz/deadlines
",
Berkeley,https://sites.google.com/berkeley.edu/eaaa/home,
University of Massachusetts Amherst,https://www.cics.umass.edu/admissions/phd-applicant-support-program,PhD
Brown University,https://cs.brown.edu/degrees/doctoral/applications/helpful-resources-applying-computer-science-phd-programs/,Mainly PhD but has more good sources
Amazing compilation for multiple of stuff,https://martiansideofthemoon.github.io/2018/05/29/grad-resources.html,
DL Indaba,https://deeplearningindaba.com/mentorship/mentee/,
